Drug	Target	Combine_score	BioScore	PredictScore	LiteScore
Dexamethasone	ADAM17	1	0	0	1
Dexamethasone	CDK2AP1	0.771469171	0	0	0.771469171
Dexamethasone	BEND3	0.418789998	0	0	0.418789998
Dexamethasone	NR1I2	1	0.5	0	1
Dexamethasone	RSL24D1	0.923713328	0	0	0.923713328
Dexamethasone	ZDHHC4	0.639564465	0	0	0.639564465
Dexamethasone	IFI30	0.236765293	0	0	0.236765293
Dexamethasone	MTM1	0.99904271	0	0	0.99904271
Dexamethasone	CBR1	0.999973558	0	0	0.999973558
Dexamethasone	VLDLR	0.999516378	0	0	0.999516378
Dexamethasone	GATA3	0.999999998190476	0	0.0952380952380952	0.999999998
Dexamethasone	COPS6	0.344026055	0	0	0.344026055
Dexamethasone	ELAC1	0.0111288980000001	0	0	0.011128898
Dexamethasone	ZBP1	0.994378176	0	0	0.994378176
Dexamethasone	HSP90AA1	1	0	0	1
Dexamethasone	EDA	0.999938089	0	0	0.999938089
Dexamethasone	CA2	1	0	0	1
Dexamethasone	SPI1	0.999999994	0	0	0.999999994
Dexamethasone	CAD	1	0	0	1
Dexamethasone	IRS2	0.999999993	0	0	0.999999993
Dexamethasone	TFF1	0.999999862	0	0	0.999999862
Dexamethasone	BMP6	0.999738047	0	0	0.999738047
Dexamethasone	AMH	0.99999967	0	0	0.99999967
Dexamethasone	SGK2	0.133159636	0	0	0.133159636
Dexamethasone	ERBB3	1	0	0	1
Dexamethasone	DCX	0.998230855	0	0	0.998230855
Dexamethasone	SFTPA2	0.99932125	0	0	0.99932125
Dexamethasone	PIK3R2	0.281772271	0	0	0.281772271
Dexamethasone	DNASE2	0.468846031	0	0	0.468846031
Dexamethasone	PVR	1	0	0	1
Dexamethasone	IGFBP4	0.999999236	0	0	0.999999236
Dexamethasone	E2F7	0.0952380952380952	0	0.0952380952380952	0
Dexamethasone	THBS1	1	0	0	1
Dexamethasone	PTGS2	1	0.5	0.333333333333333	1
Dexamethasone	ARID3B	0.375487629	0	0	0.375487629
Dexamethasone	EPHB4	0.999881499	0	0	0.999881499
Dexamethasone	SLC45A1	0.989498712	0	0	0.989498712
Dexamethasone	GALK1	0.871723523	0	0	0.871723523
Dexamethasone	PLCD1	0.899347286	0	0	0.899347286
Dexamethasone	EIF3I	0.27356543	0	0	0.27356543
Dexamethasone	ABCA1	0.999999997	0	0	0.999999997
Dexamethasone	NOS1	1	0	0.333333333333333	1
Dexamethasone	NDUFB4	0.974815072	0	0	0.974815072
Dexamethasone	LEFTY2	0.301986513	0	0	0.301986513
Dexamethasone	FBXO6	0.274020079	0	0	0.274020079
Dexamethasone	ADAMTS10	0.152116085	0	0	0.152116085
Dexamethasone	S100A6	0.99957541	0	0	0.99957541
Dexamethasone	SLC1A5	0.994621549	0	0	0.994621549
Dexamethasone	ANKRD26	0.290869775	0	0	0.290869775
Dexamethasone	IL13	1	0	0	1
Dexamethasone	PRKCZ	0.0952380952380952	0	0.0952380952380952	0
Dexamethasone	TNKS	0.99999998	0	0	0.99999998
Dexamethasone	IL18BP	0.748337549	0	0	0.748337549
Dexamethasone	DBN1	0.999979342	0	0	0.999979342
Dexamethasone	MC5R	0.961294897	0	0	0.961294897
Dexamethasone	ANXA1	1	0	1	1
Dexamethasone	SPAM1	0.995513475	0	0	0.995513475
Dexamethasone	FAS	1	0	0.0952380952380952	1
Dexamethasone	MT1M	0.486813928	0	0	0.486813928
Dexamethasone	SP6	0.975043128	0	0	0.975043128
Dexamethasone	GNS	1	0	0	1
Dexamethasone	NCF4	0.99932737	0	0	0.99932737
Dexamethasone	SLC22A6	0.861651947	0	0	0.861651947
Dexamethasone	NCOA6	0.998767738714286	0	0.0952380952380952	0.998638027
Dexamethasone	SLC2A1	1	0	0	1
Dexamethasone	OTP	0.705472564	0	0	0.705472564
Dexamethasone	PCSK7	0.999998097	0	0	0.999998097
Dexamethasone	SOAT1	0.931034659	0	0	0.931034659
Dexamethasone	MYOZ3	0.989819479	0	0	0.989819479
Dexamethasone	DAG1	1	0	0	1
Dexamethasone	HSD17B6	0.998677505	0	0	0.998677505
Dexamethasone	SFRP1	0.0952380952380952	0	0.0952380952380952	0
Dexamethasone	IL1B	1	0	0	1
Dexamethasone	ERVK-6	0.562005678	0	0	0.562005678
Dexamethasone	SYDE1	0.93925179	0	0	0.93925179
Dexamethasone	PDX1	1	0	0	1
Dexamethasone	APLN	0.999999998	0	0	0.999999998
Dexamethasone	GOT2	0.999010995	0	0	0.999010995
Dexamethasone	JMJD6	0.999983568	0	0	0.999983568
Dexamethasone	IDS	0.999833706	0	0	0.999833706
Dexamethasone	GCG	0.658787268	0	0	0.658787268
Dexamethasone	KRT31	1	0	0	1
Dexamethasone	VDR	0.999999999095238	0	0.0952380952380952	0.999999999
Dexamethasone	CASC3	0.046530959	0	0	0.046530959
Dexamethasone	MSN	0.999999739	0	0	0.999999739
Dexamethasone	GDE1	0.92103445	0	0	0.92103445
Dexamethasone	DBH	0.999999996	0	0	0.999999996
Dexamethasone	SIRT1	1	0	0.333333333333333	1
Dexamethasone	CD44	1	0	0	1
Dexamethasone	VEGFA	1	0	0	1
Dexamethasone	GUCY2C	0.999970503	0	0	0.999970503
Dexamethasone	HPR	0.999999823	0	0	0.999999823
Dexamethasone	DHDDS	0.991682049	0	0	0.991682049
